task,input,y,y_hat
"Doug's wife was upset with him. As a way to ask forgiveness he decided to buy her a new car battery. He changed it out and made sure her car was working properly. She appreciated the gesture.
Which of these fragments concludes the story in a coherent way? 
1. Doug's wife kissed him. 
2. Doug's wife was angry.","Doug's wife was upset with him. As a way to ask forgiveness he decided to buy her a new car battery. He changed it out and made sure her car was working properly. She appreciated the gesture.
Which of these fragments concludes the story in a coherent way? 
1. Doug's wife kissed him. 
2. Doug's wife was angry.",1,"1 
"
"Last week my girlfriend and I bought three lottery tickets. It's not something we normally do. We were desperate for money. Even a long shot was worth it.
Which of these fragments concludes the story in a coherent way? 
1. We decided to go to the zoo. 
2. We were happy to win a small amount of money from the tickets.","Last week my girlfriend and I bought three lottery tickets. It's not something we normally do. We were desperate for money. Even a long shot was worth it.
Which of these fragments concludes the story in a coherent way? 
1. We decided to go to the zoo. 
2. We were happy to win a small amount of money from the tickets.",2,"2 
"
"Joe was helping his dad clear the woods in the back of their yard. All of a sudden he heard loud buzzing. He had stirred up a bee's nest. He got stung six times before he could escape.
Which of these fragments concludes the story in a coherent way? 
1. Joe laughed about the experience. 
2. Joe was angry he got hurt.","Joe was helping his dad clear the woods in the back of their yard. All of a sudden he heard loud buzzing. He had stirred up a bee's nest. He got stung six times before he could escape.
Which of these fragments concludes the story in a coherent way? 
1. Joe laughed about the experience. 
2. Joe was angry he got hurt.",2,"1 
"
"Lonnie was trying to figure out what majors to take in college. He knew that his end goal was to be a teacher. He asked the career counselor for advice. The counselor gave him a list of prerequisites.
Which of these fragments concludes the story in a coherent way? 
1. Lonnie finally decided to go into education. 
2. Lonnie threw the list away.","Lonnie was trying to figure out what majors to take in college. He knew that his end goal was to be a teacher. He asked the career counselor for advice. The counselor gave him a list of prerequisites.
Which of these fragments concludes the story in a coherent way? 
1. Lonnie finally decided to go into education. 
2. Lonnie threw the list away.",1,"1 
"
"A man named Pete got off of work. After work, he drove to the gym. He went into the gym and found a workout machine. While working out, Pete worked up a sweat.
Which of these fragments concludes the story in a coherent way? 
1. He showered after he finished working out. 
2. Pete went to the baseball stadium.","A man named Pete got off of work. After work, he drove to the gym. He went into the gym and found a workout machine. While working out, Pete worked up a sweat.
Which of these fragments concludes the story in a coherent way? 
1. He showered after he finished working out. 
2. Pete went to the baseball stadium.",1,"1 
"
"Neil took a flight into Bangkok. He walked around to see the sights. There were so many delicious local foods! And the souvenirs were wonderful, too!
Which of these fragments concludes the story in a coherent way? 
1. Neil stayed some extra days in Bangkok because of all the fun. 
2. Neil decided he never wanted to go to Bangkok again.","Neil took a flight into Bangkok. He walked around to see the sights. There were so many delicious local foods! And the souvenirs were wonderful, too!
Which of these fragments concludes the story in a coherent way? 
1. Neil stayed some extra days in Bangkok because of all the fun. 
2. Neil decided he never wanted to go to Bangkok again.",1,"1 
"
"Rick grew up in a troubled household. He never found good support in family, and turned to gangs. It wasn't long before Rick got shot in a robbery. The incident caused him to turn a new leaf.
Which of these fragments concludes the story in a coherent way? 
1. He is happy now. 
2. He joined a gang.","Rick grew up in a troubled household. He never found good support in family, and turned to gangs. It wasn't long before Rick got shot in a robbery. The incident caused him to turn a new leaf.
Which of these fragments concludes the story in a coherent way? 
1. He is happy now. 
2. He joined a gang.",1,"1 
"
"Jeremy's mother didn't approve of his lifestyle. When he was 21, Jeremy decided to move out. He found an apartment in a nearby state with a new job. After several Years he cleaned up, and finances his own life.
Which of these fragments concludes the story in a coherent way? 
1. Jeremy had to move back in with his mother. 
2. Jeremy enjoyed being more responsible.","Jeremy's mother didn't approve of his lifestyle. When he was 21, Jeremy decided to move out. He found an apartment in a nearby state with a new job. After several Years he cleaned up, and finances his own life.
Which of these fragments concludes the story in a coherent way? 
1. Jeremy had to move back in with his mother. 
2. Jeremy enjoyed being more responsible.",2,"2 
"
"My dog waited for me by the house front door. We walked to the park for playtime and exercise. The dog and I walked around the block before returning home. When we walked through the front door, she took a big drink of water.
Which of these fragments concludes the story in a coherent way? 
1. Then she lay down and took a nap. 
2. She was jumping up and down begging for a walk.","My dog waited for me by the house front door. We walked to the park for playtime and exercise. The dog and I walked around the block before returning home. When we walked through the front door, she took a big drink of water.
Which of these fragments concludes the story in a coherent way? 
1. Then she lay down and took a nap. 
2. She was jumping up and down begging for a walk.",1,"1 
"
"Ken met a nice man online, and they decided to go on a date. They met at a nice restaurant and shook hands. Ken and his date ordered food and had small talk. While they ate, Ken decided that he really liked the man.
Which of these fragments concludes the story in a coherent way? 
1. Ken made an excuse to leave quickly. 
2. Ken asked him for a second date.","Ken met a nice man online, and they decided to go on a date. They met at a nice restaurant and shook hands. Ken and his date ordered food and had small talk. While they ate, Ken decided that he really liked the man.
Which of these fragments concludes the story in a coherent way? 
1. Ken made an excuse to leave quickly. 
2. Ken asked him for a second date.",2,"2 
"
"Todd and Ashley were dating. Todd got irritated with Ashley. He gave her the silent treatment. Ashley got upset.
Which of these fragments concludes the story in a coherent way? 
1. She was mad because Todd wouldn't stop talking. 
2. She decided not to speak to Todd either.","Todd and Ashley were dating. Todd got irritated with Ashley. He gave her the silent treatment. Ashley got upset.
Which of these fragments concludes the story in a coherent way? 
1. She was mad because Todd wouldn't stop talking. 
2. She decided not to speak to Todd either.",2,"2 
"
"Shay went to the marine park. There she saw a sign advertising dolphin swims. Shay eagerly handed over her $40 and suited up. Then she jumped in the pool to swim with the dolphins.
Which of these fragments concludes the story in a coherent way? 
1. Shay had a great time. 
2. Shay really didn't like dolphins.","Shay went to the marine park. There she saw a sign advertising dolphin swims. Shay eagerly handed over her $40 and suited up. Then she jumped in the pool to swim with the dolphins.
Which of these fragments concludes the story in a coherent way? 
1. Shay had a great time. 
2. Shay really didn't like dolphins.",1,"1 
"
"Ray went to a friend's house for a sleepover. He realized that he'd forgotten his toothbrush. He was unable to brush his teeth! Ray tried to use toothpaste on his finger, but it was no use.
Which of these fragments concludes the story in a coherent way? 
1. Finally, Ray  asked his friend if he had a spare toothbrush. 
2. Ray did a good job brushing his teeth.","Ray went to a friend's house for a sleepover. He realized that he'd forgotten his toothbrush. He was unable to brush his teeth! Ray tried to use toothpaste on his finger, but it was no use.
Which of these fragments concludes the story in a coherent way? 
1. Finally, Ray  asked his friend if he had a spare toothbrush. 
2. Ray did a good job brushing his teeth.",1,"1 
"
"One man bet another that he could outstare a duck. A duck was found and stared at. Although the duck was unaware of what was happening, it did not blink. It did, however, wet its eyes with its nictitating membrane.
Which of these fragments concludes the story in a coherent way? 
1. The man eventually blinked. 
2. The man wanted to lose his bet.","One man bet another that he could outstare a duck. A duck was found and stared at. Although the duck was unaware of what was happening, it did not blink. It did, however, wet its eyes with its nictitating membrane.
Which of these fragments concludes the story in a coherent way? 
1. The man eventually blinked. 
2. The man wanted to lose his bet.",1,"1 
"
"Cindy was at a restaurant. And she ordered hot soup. But the waitress forgot to tell her that the bowl was hot. So when received the bowl from the waitress, she hurt her hands.
Which of these fragments concludes the story in a coherent way? 
1. Cindy went and ran cold water over her hands. 
2. Cindy continued holding the soup.","Cindy was at a restaurant. And she ordered hot soup. But the waitress forgot to tell her that the bowl was hot. So when received the bowl from the waitress, she hurt her hands.
Which of these fragments concludes the story in a coherent way? 
1. Cindy went and ran cold water over her hands. 
2. Cindy continued holding the soup.",1,"1 
"
