bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,Is artificial consciousness achievable? Lessons from the human brain,M. Farisco and K. Evers and J. Changeux,Neural networks : the official journal of the International Neural Network Society,2024,Connected Papers,"
106714
",180,"We here analyse the question of developing artificial consciousness from an evolutionary perspective, taking the evolution of the human brain and its relation with consciousness as a reference model or as a benchmark. This kind of analysis reveals several structural and functional features of the human brain that appear to be key for reaching human-like complex conscious experience and that current research on Artificial Intelligence (AI) should take into account in its attempt to develop systems capable of human-like conscious processing. We argue that, even if AI is limited in its ability to emulate human consciousness for both intrinsic (i.e., structural and architectural) and extrinsic (i.e., related to the current stage of scientific and technological knowledge) reasons, taking inspiration from those characteristics of the brain that make human-like conscious processing possible and/or modulate it, is a potentially promising strategy towards developing conscious AI. Also, it cannot be theoretically excluded that AI research can develop partial or potentially alternative forms of consciousness that are qualitatively different from the human form, and that may be either more or less sophisticated depending on the perspectives. Therefore, we recommend neuroscience-inspired caution in talking about artificial consciousness: since the use of the same word ""consciousness"" for humans and AI becomes ambiguous and potentially misleading, we propose to clearly specify which level and/or type of consciousness AI research aims to develop, as well as what would be common versus differ in AI conscious processing compared to human conscious experience.",,10.48550/arXiv.2405.04540,https://www.semanticscholar.org/paper/c8ae365c40f617f5a20c6a3867a30fa714ec053f,,,,,,,,,"45707,83006","45707,83006",GuiSales404,,Accepted,
,A Theoretical Computer Science Perspective on Consciousness,M. Blum and L. Blum,J. Artif. Intell. Conscious.,2020,Connected Papers,1-42,8,"The quest to understand consciousness, once the purview of philosophers and theologians, is now actively pursued by scientists of many stripes. This paper studies consciousness from the perspective of theoretical computer science. It formalizes the Global Workspace Theory (GWT) originated by the cognitive neuroscientist Bernard Baars and further developed by him, Stanislas Dehaene, and others. Our major contribution lies in the precise formal definition of a Conscious Turing Machine (CTM), also called a Conscious AI. We define the CTM in the spirit of Alan Turing’s simple yet powerful definition of a computer, the Turing Machine (TM). We are not looking for a complex model of the brain nor of cognition but for a simple model of (the admittedly complex concept of) consciousness. After formally defining CTM, we give a formal definition of consciousness in CTM. We later suggest why the CTM has the feeling of consciousness. The reasonableness of the definitions and explanations can be judged by how well they agree with commonly accepted intuitive concepts of human consciousness, the range of related concepts that the model explains easily and naturally, and the extent of its agreement with scientific evidence.",,10.1142/s2705078521500028,https://www.semanticscholar.org/paper/a336551c6e3a6c19bbe19be3973e66159f2dab9a,,,,,,,,,"45707,82998","45707,82998",GuiSales404,,Accepted,
,Could a Large Language Model be Conscious?,D. Chalmers,ArXiv,2023,Connected Papers,null,abs/2303.07103,"There has recently been widespread discussion of whether large language models might be sentient. Should we take this idea seriously? I will break down the strongest reasons for and against. Given mainstream assumptions in the science of consciousness, there are significant obstacles to consciousness in current models: for example, their lack of recurrent processing, a global workspace, and unified agency. At the same time, it is quite possible that these obstacles will be overcome in the next decade or so. I conclude that while it is somewhat unlikely that current large language models are conscious, we should take seriously the possibility that successors to large language models may be conscious in the not-too-distant future.",,10.48550/arXiv.2303.07103,https://www.semanticscholar.org/paper/e7bec2a9da36bda325cbdd287a46f8cddf45a316,,,,,,,,,"45707,82998","45707,82998",GuiSales404,,Accepted,
,Brainish: Formalizing A Multimodal Language for Intelligence and Consciousness,P. Liang,ArXiv,2022,Connected Papers,null,abs/2205.00001,"Having a rich multimodal inner language is an important component of human intelligence that enables several necessary core cognitive functions such as multimodal prediction, translation, and generation. Building upon the Conscious Turing Machine (CTM), a machine model for consciousness proposed by Blum and Blum (2021), we describe the desiderata of a multimodal language called Brainish, comprising words, images, audio, and sensations combined in representations that the CTM's processors use to communicate with each other. We define the syntax and semantics of Brainish before operationalizing this language through the lens of multimodal artificial intelligence, a vibrant research area studying the computational tools necessary for processing and relating information from heterogeneous signals. Our general framework for learning Brainish involves designing (1) unimodal encoders to segment and represent unimodal data, (2) a coordinated representation space that relates and composes unimodal features to derive holistic meaning across multimodal inputs, and (3) decoders to map multimodal representations into predictions (for fusion) or raw data (for translation or generation). Through discussing how Brainish is crucial for communication and coordination in order to achieve consciousness in the CTM, and by implementing a simple version of Brainish and evaluating its capability of demonstrating intelligence on multimodal prediction and retrieval tasks on several real-world image, text, and audio datasets, we argue that such an inner language will be important for advances in machine models of intelligence and consciousness.",,10.48550/arXiv.2205.00001,https://www.semanticscholar.org/paper/ad45e482fc12f20ae8e4611c46964408361f73e8,,,,,,,,,"45707,82998","45707,82998",GuiSales404,,Accepted,
,On a confusion about a function of consciousness,N. Block,Behavioral and Brain Sciences,1995,Connected Papers,227 - 247,18,"Abstract Consciousness is a mongrel concept: there are a number of very different “consciousnesses.” Phenomenal consciousness is experience; the phenomenally conscious aspect of a state is what it is like to be in that state. The mark of access-consciousness, by contrast, is availability for use in reasoning and rationally guiding speech and action. These concepts are often partly or totally conflated, with bad results. This target article uses as an example a form of reasoning about a function of “consciousness” based on the phenomenon of blindsight. Some information about stimuli in the blind field is represented in the brains of blindsight patients, as shown by their correct “guesses.” They cannot harness this information in the service of action, however, and this is said to show that a function of phenomenal consciousness is somehow to enable information represented in the brain to guide action. But stimuli in the blind field are both access-unconscious and phenomenally unconscious. The fallacy is: an obvious function of the machinery of accessconsciousness is illicitly transferred to phenomenal consciousness.",,10.1017/S0140525X00038188,https://www.semanticscholar.org/paper/6d2d514638ed5d1b9221118bf5fb5393ff7aec09,,,,,,,,,"45707,83012","45707,83012",GuiSales404,,Rejected,
,An information integration theory of consciousness,G. Tononi,BMC Neuroscience,2004,Connected Papers,42 - 42,5,"S2 TL;DR: The information integration theory accounts, in a principled manner, for several neurobiological observations concerning consciousness, including the association of consciousness with certain neural systems rather than with others; the fact that neural processes underlying consciousness can influence or be influenced by neural processes that remain unconscious; the reduction of consciousness during dreamless sleep and generalized seizures.",,10.1186/1471-2202-5-42,https://www.semanticscholar.org/paper/c93798ad4d66738eccbeafee56b55b2bd1647a35,,,,,,,,,"45707,83012","45707,83012",GuiSales404,,Rejected,
,Towards a true neural stance on consciousness,V. Lamme,Trends in Cognitive Sciences,2006,Connected Papers,494-501,10,"S2 TL;DR: It is argued that introspective or behavioral observations are considered the gold standard, to which neural measures should be fitted, and that this poses serious problems for understanding the mind-brain relationship.",,10.1016/j.tics.2006.09.001,https://www.semanticscholar.org/paper/7bb0e25195329956ac3dd49eb38c4c7e880d78b0,,,,,,,,,"45707,83012","45707,83012",GuiSales404,,Rejected,
,Empirical support for higher-order theories of conscious awareness,H. Lau and D. Rosenthal,Trends in Cognitive Sciences,2011,Connected Papers,365-373,15,"S2 TL;DR: This work defends the higher-order view against several major criticisms, such as prefrontal activity reflects attention but not awareness, and prefrontal lesion does not abolish awareness.",,10.1016/j.tics.2011.05.009,https://www.semanticscholar.org/paper/397b4b8c63ebf349a46d66f2054f358b8cae4111,,,,,,,,,"45707,83012","45707,83012",GuiSales404,,Rejected,
,Facing Up to the Problem of Consciousness,D. Chalmers,,1995,Connected Papers,,,"To make progress on the problem of consciousness, we have to confront it directly. In this paper, I first isolate the truly hard part of the problem, separating it from more tractable parts and giving an account of why it is so difficult to explain. I critique some recent work that uses reductive methods to address consciousness, and argue that such methods inevitably fail to come to grips with the hardest part of the problem. Once this failure is recognized, the door to further progress is opened. In the second half of the paper, I argue that if we move to a new kind of nonreductive explanation, a naturalistic account of consciousness can be given. I put forward my own candidate for such an account: a nonreductive theory based on principles of structural coherence and organizational invariance, and a double-aspect theory of information.",,10.1093/acprof:oso/9780195311105.003.0001,https://www.semanticscholar.org/paper/c2a06f095a81f5f979ffe5aa664c175a625fba0c,,,,,,,,,"45707,83012","45707,83012",GuiSales404,,Rejected,
,Integrated information theory: from consciousness to its physical substrate,G. Tononi and M. Boly and M. Massimini and C. Koch,Nature Reviews Neuroscience,2016,Connected Papers,450-461,17,S2 TL;DR: How integrated information theory accounts for several aspects of the relationship between consciousness and the brain is discussed and can be used to develop new tools for assessing consciousness in non-communicative patients.,,10.1038/nrn.2016.44,https://www.semanticscholar.org/paper/0ec126f4319e2e18110e3ca8fbddca463a4efc96,,,,,,,,,"45707,83012","45707,83012",GuiSales404,,Rejected,
,Experimental and Theoretical Approaches to Conscious Processing,S. Dehaene and J. Changeux,Neuron,2011,Connected Papers,200-227,70,"S2 TL;DR: Converging neuroimaging and neurophysiological data point to objective neural measures of conscious access: late amplification of relevant sensory activity, long-distance cortico-cortical synchronization at beta and gamma frequencies, and ""ignition"" of a large-scale prefronto-parietal network.",,10.1016/j.neuron.2011.03.018,https://www.semanticscholar.org/paper/db501562c4363285e181250c8f933e02828b6041,,,,,,,,,"45707,83012","45707,83012",GuiSales404,,Rejected,
,Theories of consciousness and a life worth living,L. Mudrik and M. Mylopoulos and Niccolò Negro and Aaron Schurger,Current Opinion in Behavioral Sciences,2023,Connected Papers,null,53,null,,10.1016/j.cobeha.2023.101299,https://www.semanticscholar.org/paper/e4fd32eb141c099fa7eb1c9d2fa1e2d65f83bd7e,,,,,,,,,"45707,83006","45707,83006",GuiSales404,,Rejected,
,(Dis)confirming theories of consciousness and their predictions: towards a Lakatosian consciousness science,Niccolò Negro,Neuroscience of Consciousness,2024,Connected Papers,null,2024,"Abstract The neuroscience of consciousness is undergoing a significant empirical acceleration thanks to several adversarial collaborations that intend to test different predictions of rival theories of consciousness. In this context, it is important to pair consciousness science with confirmation theory, the philosophical discipline that explores the interaction between evidence and hypotheses, in order to understand how exactly, and to what extent, specific experiments are challenging or validating theories of consciousness. In this paper, I examine this intricate relationship by adopting a Lakatosian lens. I propose that Lakatos’ philosophy of science can aid consciousness scientists to better interpret adversarial collaborations in consciousness science and, more generally, to develop a confirmation-theoretic model of theory-appraisal in this field. I do so by suggesting that such a model be built upon three Lakatos-inspired criteria for assessing the relationship between empirical evidence and theoretical predictions: (i) the model should represent the ‘distinction between prediction and accommodation’; (ii) the model should represent the ‘structural relevance’ of predictions; (iii) the model should represent the ‘boldness’ of the predictions. I argue that a Lakatosian model of theory-appraisal has both normative and descriptive virtues, and can move the debate forward by acknowledging that theory-appraisal needs to consider the diachronic development of theories, their logical structure, and their relationship with background beliefs and knowledge.",,10.1093/nc/niae012,https://www.semanticscholar.org/paper/bdefa3a21b2b9cab1992451d127f00569b43573f,,,,,,,,,"45707,83006","45707,83006",GuiSales404,,Rejected,
,A measure centrality index for systematic empirical comparison of consciousness theories,Robert Chis-Ciure and Lucía Melloni and Georg Northoff,Neuroscience & Biobehavioral Reviews,2024,Connected Papers,null,161,null,,10.1016/j.neubiorev.2024.105670,https://www.semanticscholar.org/paper/d07c2ad29895fa70efaa576b6445765e9c254ce8,,,,,,,,,"45707,83006","45707,83006",GuiSales404,,Rejected,
,Effects of Awareness on the Control of Attention,Taylor W. Webb and Hope H. Kean and M. Graziano,Journal of Cognitive Neuroscience,2016,Connected Papers,842-851,28,"Abstract Previous studies show that it is possible to attend to a stimulus without awareness of it. Whether attention and awareness are independent or have a specific relationship, however, remains debated. Here, we tested three aspects of visual attention with and without awareness of the visual stimulus. Metacontrast masking rendered participants either subjectively aware or not aware of the stimulus. Attention drawn to the stimulus was measured by using the stimulus as a cue in a spatial attention task. We found that attention was drawn to the stimulus regardless of whether or not people were aware of it. However, attention changed significantly in the absence of awareness in at least three ways. First, attention to a task-relevant stimulus was less stable over time. Second, inhibition of return, the automatic suppression of attention to a task-irrelevant stimulus, was reduced. Third, attention was more driven by the luminance contrast of the stimulus. These findings add to the growing information on the behavior of attention with and without awareness. The findings are also consistent with our recently proposed account of the relationship between attention and awareness. In the attention schema theory, awareness is the internal model of attention. Just as the brain contains a body schema that models the body and helps control the body, so it contains an attention schema that helps control attention. In that theory, in the absence of awareness, the control of attention should suffer in basic ways predictable from dynamical systems theory. The present results confirm some of those predictions.",,10.1162/jocn_a_00931,https://www.semanticscholar.org/paper/5969a22e49faf2b4978e2e602636d1609771d482,,,,,,,,,"45707,82998","45707,82998",GuiSales404,,Rejected,
,Model Complexity (and How Ensembles Help),R. Nisbet and J. Elder and G. Miner,,2009,Connected Papers,,,"S2 TL;DR: A method for improving accuracy more powerful than tailoring the algorithm is discovered: bundling models into ensembles, which appears to increase complexity, as they have many more parameters than their components.",,10.1016/B978-0-12-374765-5.00018-8,https://www.semanticscholar.org/paper/f7034e42a98038139bca03dd31fdbb7df2c90df9,,,,,,,,,"45707,82998","45707,82998",GuiSales404,,Rejected,
,A Human-AI Loop Approach for Joint Keyword Discovery and Expectation Estimation in Micropost Event Detection,Akansha Bhardwaj and Jie Yang and Philippe Cudré-Mauroux,ArXiv,2019,Connected Papers,null,abs/1912.00667,"Microblogging platforms such as Twitter are increasingly being used in event detection. Existing approaches mainly use machine learning models and rely on event-related keywords to collect the data for model training. These approaches make strong assumptions on the distribution of the relevant microposts containing the keyword – referred to as the expectation of the distribution – and use it as a posterior regularization parameter during model training. Such approaches are, however, limited as they fail to reliably estimate the informativeness of a keyword and its expectation for model training. This paper introduces a Human-AI loop approach to jointly discover informative keywords for model training while estimating their expectation. Our approach iteratively leverages the crowd to estimate both keyword-specific expectation and the disagreement between the crowd and the model in order to discover new keywords that are most beneficial for model training. These keywords and their expectation not only improve the resulting performance but also make the model training process more transparent. We empirically demonstrate the merits of our approach, both in terms of accuracy and interpretability, on multiple real-world datasets and show that our approach improves the state of the art by 24.3%.",,10.1609/AAAI.V34I03.5626,https://www.semanticscholar.org/paper/b19380b7340a0bb6db40a1b711adadabd0e2ea58,,,,,,,,,"45707,82998","45707,82998",GuiSales404,,Rejected,
,Non‐human consciousness and the specificity problem: A modest theoretical proposal,Henry Shevlin,Mind & Language,2021,Connected Papers,null,null,"Most scientific theories of consciousness are challenging to apply outside the human case insofar as non-human systems (both biological and artificial) are unlikely to implement human architecture precisely, an issue I call the specificity problem . After providing some background on the theories of consciousness debate, I survey the prospects of four approaches to this problem. I then consider a fifth solution, namely the theory-light approach proposed by Jonathan Birch. I defend a modified version of this that I term the modest theoretical approach , argu-ing that it may provide insights into challenging cases that would otherwise be intractable.",,10.1111/MILA.12338,https://www.semanticscholar.org/paper/4a19434b197ac51ef5958c71663443b71c52808b,,,,,,,,,"45707,82998","45707,82998",GuiSales404,,Rejected,
,The attention schema theory in a neural network agent: Controlling visuospatial attention using a descriptive model of attention,Andrew I. Wilterson and M. Graziano,Proceedings of the National Academy of Sciences of the United States of America,2021,Connected Papers,null,118,"Significance Attention, the deep processing of select items, is one of the most important cognitive operations in the brain. But how does the brain control its attention? One proposed part of the mechanism is that the brain builds a model, or attention schema, that helps monitor and predict the changing state of attention. Here, we show that an artificial neural network agent can be trained to control visual attention when it is given an attention schema, but its performance is greatly reduced when the schema is not available. We suggest that the brain may have evolved a model of attention because of the profound practical benefit for the control of attention. In the attention schema theory (AST), the brain constructs a model of attention, the attention schema, to aid in the endogenous control of attention. Growing behavioral evidence appears to support the presence of a model of attention. However, a central question remains: does a controller of attention actually benefit by having access to an attention schema? We constructed an artificial deep Q-learning neural network agent that was trained to control a simple form of visuospatial attention, tracking a stimulus with an attention spotlight in order to solve a catch task. The agent was tested with and without access to an attention schema. In both conditions, the agent received sufficient information such that it should, theoretically, be able to learn the task. We found that with an attention schema present, the agent learned to control its attention spotlight and learned the catch task. Once the agent learned, if the attention schema was then disabled, the agent’s performance was greatly reduced. If the attention schema was removed before learning began, the agent was impaired at learning. The results show how the presence of even a simple attention schema can provide a profound benefit to a controller of attention. We interpret these results as supporting the central argument of AST: the brain contains an attention schema because of its practical benefit in the endogenous control of attention.",,10.1073/pnas.2102421118,https://www.semanticscholar.org/paper/bc81c911909faee9497ad605b54b560f279018be,,,,,,,,,"45707,82998","45707,82998",GuiSales404,,Rejected,
